basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64,gender
4111110_norra_runby,2000,0.1598,male
4111110_norra_runby,2001,0.16065,male
4111110_norra_runby,2002,0.16377,male
4111110_norra_runby,2003,0.16604000000000002,male
4111110_norra_runby,2004,0.17413,male
4111110_norra_runby,2005,0.16816,male
4111110_norra_runby,2006,0.17949,male
4111110_norra_runby,2007,0.19401,male
4111110_norra_runby,2008,0.19195,male
4111110_norra_runby,2009,0.19355,male
4111110_norra_runby,2010,0.20655,male
4111110_norra_runby,2011,0.19296,male
4111110_norra_runby,2012,0.19495,male
4111110_norra_runby,2013,0.19955,male
4111110_norra_runby,2014,0.21725,male
4111120_sodra_runby,2000,0.125,male
4111120_sodra_runby,2001,0.12037,male
4111120_sodra_runby,2002,0.1215,male
4111120_sodra_runby,2003,0.12037,male
4111120_sodra_runby,2004,0.10092000000000001,male
4111120_sodra_runby,2005,0.10890999999999999,male
4111120_sodra_runby,2006,0.09804,male
4111120_sodra_runby,2007,0.1068,male
4111120_sodra_runby,2008,0.13592,male
4111120_sodra_runby,2009,0.14706,male
4111120_sodra_runby,2010,0.13725,male
4111120_sodra_runby,2011,0.12380999999999999,male
4111120_sodra_runby,2012,0.08653999999999999,male
4111120_sodra_runby,2013,0.13,male
4111120_sodra_runby,2014,0.14562999999999998,male
4111130_runby_lovsta,2000,0.15759,male
4111130_runby_lovsta,2001,0.14327,male
4111130_runby_lovsta,2002,0.14451,male
4111130_runby_lovsta,2003,0.14804,male
4111130_runby_lovsta,2004,0.16510999999999998,male
4111130_runby_lovsta,2005,0.16614,male
4111130_runby_lovsta,2006,0.14148,male
4111130_runby_lovsta,2007,0.15872999999999998,male
4111130_runby_lovsta,2008,0.15646,male
4111130_runby_lovsta,2009,0.16722,male
4111130_runby_lovsta,2010,0.18212,male
4111130_runby_lovsta,2011,0.18447,male
4111130_runby_lovsta,2012,0.21356,male
4111130_runby_lovsta,2013,0.23729,male
4111130_runby_lovsta,2014,0.22368000000000002,male
4111140_prastgardsmarken,2000,0.17712999999999998,male
4111140_prastgardsmarken,2001,0.16985999999999998,male
4111140_prastgardsmarken,2002,0.17523,male
4111140_prastgardsmarken,2003,0.19093,male
4111140_prastgardsmarken,2004,0.1692,male
4111140_prastgardsmarken,2005,0.16591,male
